,Nome do algoritmo,Tamanho entrada,Tipo array,atributo,Valor
100,tree sort,5000,Desordenado,time_to_insert,0.04059999999998354
101,tree sort,5000,Desordenado,time_to_inorder_travel,-0.0019860000000448963
102,tree sort,10000,Ordem crescente,Tempo de execução,20.566194999999993
103,tree sort,10000,Ordem crescente,Número de comparações,49995000.0
104,tree sort,10000,Ordem crescente,Número de escritas,0.0
105,tree sort,10000,Ordem crescente,Tamánho,10000.0
106,tree sort,10000,Ordem crescente,time_to_insert,20.562003000000004
107,tree sort,10000,Ordem crescente,time_to_inorder_travel,-0.0034850000000119508
108,tree sort,10000,Ordem decrescente,Tempo de execução,20.380448
109,tree sort,10000,Ordem decrescente,Número de comparações,49995000.0
110,tree sort,10000,Ordem decrescente,Número de escritas,0.0
111,tree sort,10000,Ordem decrescente,Tamánho,10000.0
112,tree sort,10000,Ordem decrescente,time_to_insert,20.37419
113,tree sort,10000,Ordem decrescente,time_to_inorder_travel,-0.005236000000024887
114,tree sort,10000,Desordenado,Tempo de execução,0.1022490000000289
115,tree sort,10000,Desordenado,Número de comparações,164357.0
116,tree sort,10000,Desordenado,Número de escritas,0.0
117,tree sort,10000,Desordenado,Tamánho,10000.0
118,tree sort,10000,Desordenado,time_to_insert,0.09665599999999586
119,tree sort,10000,Desordenado,time_to_inorder_travel,-0.004328999999984262
120,cartesian tree,1000,Ordem crescente,Tempo de execução,0.0033849999999802094
121,cartesian tree,1000,Ordem crescente,Número de comparações,1999.0
122,cartesian tree,1000,Ordem crescente,Número de escritas,0.0
123,cartesian tree,1000,Ordem crescente,Tamánho,1000.0
124,cartesian tree,1000,Ordem decrescente,Tempo de execução,0.0033840000000395776
125,cartesian tree,1000,Ordem decrescente,Número de comparações,1999.0
126,cartesian tree,1000,Ordem decrescente,Número de escritas,0.0
127,cartesian tree,1000,Ordem decrescente,Tamánho,1000.0
128,cartesian tree,1000,Desordenado,Tempo de execução,0.1554610000000025
129,cartesian tree,1000,Desordenado,Número de comparações,336845.0
130,cartesian tree,1000,Desordenado,Número de escritas,0.0
131,cartesian tree,1000,Desordenado,Tamánho,1000.0
132,cartesian tree,2000,Ordem crescente,Tempo de execução,0.007419000000027154
133,cartesian tree,2000,Ordem crescente,Número de comparações,3999.0
134,cartesian tree,2000,Ordem crescente,Número de escritas,0.0
135,cartesian tree,2000,Ordem crescente,Tamánho,2000.0
136,cartesian tree,2000,Ordem decrescente,Tempo de execução,0.007526000000041222
137,cartesian tree,2000,Ordem decrescente,Número de comparações,3999.0
138,cartesian tree,2000,Ordem decrescente,Número de escritas,0.0
139,cartesian tree,2000,Ordem decrescente,Tamánho,2000.0
140,cartesian tree,2000,Desordenado,Tempo de execução,0.7106759999999781
141,cartesian tree,2000,Desordenado,Número de comparações,1315965.0
142,cartesian tree,2000,Desordenado,Número de escritas,0.0
143,cartesian tree,2000,Desordenado,Tamánho,2000.0
144,cartesian tree,5000,Ordem crescente,Tempo de execução,0.01679300000000694
145,cartesian tree,5000,Ordem crescente,Número de comparações,9999.0
146,cartesian tree,5000,Ordem crescente,Número de escritas,0.0
147,cartesian tree,5000,Ordem crescente,Tamánho,5000.0
148,cartesian tree,5000,Ordem decrescente,Tempo de execução,0.017381000000000313
149,cartesian tree,5000,Ordem decrescente,Número de comparações,9999.0
150,cartesian tree,5000,Ordem decrescente,Número de escritas,0.0
151,cartesian tree,5000,Ordem decrescente,Tamánho,5000.0
152,cartesian tree,5000,Desordenado,Tempo de execução,4.781515000000013
153,cartesian tree,5000,Desordenado,Número de comparações,8363751.0
154,cartesian tree,5000,Desordenado,Número de escritas,0.0
155,cartesian tree,5000,Desordenado,Tamánho,5000.0
156,cartesian tree,10000,Ordem crescente,Tempo de execução,0.03499299999998584
157,cartesian tree,10000,Ordem crescente,Número de comparações,19999.0
158,cartesian tree,10000,Ordem crescente,Número de escritas,0.0
159,cartesian tree,10000,Ordem crescente,Tamánho,10000.0
160,cartesian tree,10000,Ordem decrescente,Tempo de execução,0.1048059999999964
161,cartesian tree,10000,Ordem decrescente,Número de comparações,19999.0
162,cartesian tree,10000,Ordem decrescente,Número de escritas,0.0
163,cartesian tree,10000,Ordem decrescente,Tamánho,10000.0
164,cartesian tree,10000,Desordenado,Tempo de execução,19.553987000000006
165,cartesian tree,10000,Desordenado,Número de comparações,33213075.0
166,cartesian tree,10000,Desordenado,Número de escritas,0.0
167,cartesian tree,10000,Desordenado,Tamánho,10000.0
