,Nome do algoritmo,Tamanho entrada,Tipo array,atributo,Valor
100,tree sort,5000,Desordenado,time_to_insert,0.07926590000079159
101,tree sort,5000,Desordenado,time_to_inorder_travel,-0.002018500000303902
102,tree sort,10000,Ordem crescente,Tempo de execução,23.79212430000007
103,tree sort,10000,Ordem crescente,Número de comparações,24995000.0
104,tree sort,10000,Ordem crescente,Número de escritas,0.0
105,tree sort,10000,Ordem crescente,Tamánho,10000.0
106,tree sort,10000,Ordem crescente,time_to_insert,23.783877400000165
107,tree sort,10000,Ordem crescente,time_to_inorder_travel,-0.007414199999402626
108,tree sort,10000,Ordem decrescente,Tempo de execução,22.914377799999784
109,tree sort,10000,Ordem decrescente,Número de comparações,24995000.0
110,tree sort,10000,Ordem decrescente,Número de escritas,0.0
111,tree sort,10000,Ordem decrescente,Tamánho,10000.0
112,tree sort,10000,Ordem decrescente,time_to_insert,22.910686799999894
113,tree sort,10000,Ordem decrescente,time_to_inorder_travel,-0.0032119999996211845
114,tree sort,10000,Desordenado,Tempo de execução,0.09088539999993372
115,tree sort,10000,Desordenado,Número de comparações,74296.0
116,tree sort,10000,Desordenado,Número de escritas,0.0
117,tree sort,10000,Desordenado,Tamánho,10000.0
118,tree sort,10000,Desordenado,time_to_insert,0.08574609999959648
119,tree sort,10000,Desordenado,time_to_inorder_travel,-0.004359499999736727
120,cartesian tree,1000,Ordem crescente,Tempo de execução,0.003803699999480159
121,cartesian tree,1000,Ordem crescente,Número de comparações,999.0
122,cartesian tree,1000,Ordem crescente,Número de escritas,0.0
123,cartesian tree,1000,Ordem crescente,Tamánho,1000.0
124,cartesian tree,1000,Ordem decrescente,Tempo de execução,0.0056938999996418715
125,cartesian tree,1000,Ordem decrescente,Número de comparações,999.0
126,cartesian tree,1000,Ordem decrescente,Número de escritas,0.0
127,cartesian tree,1000,Ordem decrescente,Tamánho,1000.0
128,cartesian tree,1000,Desordenado,Tempo de execução,0.16539089999969292
129,cartesian tree,1000,Desordenado,Número de comparações,169441.0
130,cartesian tree,1000,Desordenado,Número de escritas,0.0
131,cartesian tree,1000,Desordenado,Tamánho,1000.0
132,cartesian tree,2000,Ordem crescente,Tempo de execução,0.0076473999997688225
133,cartesian tree,2000,Ordem crescente,Número de comparações,1999.0
134,cartesian tree,2000,Ordem crescente,Número de escritas,0.0
135,cartesian tree,2000,Ordem crescente,Tamánho,2000.0
136,cartesian tree,2000,Ordem decrescente,Tempo de execução,0.007732299999588577
137,cartesian tree,2000,Ordem decrescente,Número de comparações,1999.0
138,cartesian tree,2000,Ordem decrescente,Número de escritas,0.0
139,cartesian tree,2000,Ordem decrescente,Tamánho,2000.0
140,cartesian tree,2000,Desordenado,Tempo de execução,0.6949538999997458
141,cartesian tree,2000,Desordenado,Número de comparações,667899.0
142,cartesian tree,2000,Desordenado,Número de escritas,0.0
143,cartesian tree,2000,Desordenado,Tamánho,2000.0
144,cartesian tree,5000,Ordem crescente,Tempo de execução,0.01899310000044352
145,cartesian tree,5000,Ordem crescente,Número de comparações,4999.0
146,cartesian tree,5000,Ordem crescente,Número de escritas,0.0
147,cartesian tree,5000,Ordem crescente,Tamánho,5000.0
148,cartesian tree,5000,Ordem decrescente,Tempo de execução,0.021892400000069756
149,cartesian tree,5000,Ordem decrescente,Número de comparações,4999.0
150,cartesian tree,5000,Ordem decrescente,Número de escritas,0.0
151,cartesian tree,5000,Ordem decrescente,Tamánho,5000.0
152,cartesian tree,5000,Desordenado,Tempo de execução,4.916998200000307
153,cartesian tree,5000,Desordenado,Número de comparações,4186783.0
154,cartesian tree,5000,Desordenado,Número de escritas,0.0
155,cartesian tree,5000,Desordenado,Tamánho,5000.0
156,cartesian tree,10000,Ordem crescente,Tempo de execução,0.04200740000032965
